title,link,schedule,location_name,address,tag,description
Dress For Success Pittsburgh,https://www.pghcitypaper.com/pittsburgh/dress-for-success-pittsburgh/Event?oid=1430257,Ongoing,,,Volunteers,"Organization prepares economically disadvantaged women succeed in the workforce. Looking for image consultants, administrative workers, donation pick-up coordinators & more. Also accepting donations. 412-201-4204"
UPMC Shadyside,https://www.pghcitypaper.com/pittsburgh/upmc-shadyside/Event?oid=1426439,,,,Volunteers,To help visit hospitalized older patients. Training provided. 412-623-1793
READ! 365,https://www.pghcitypaper.com/pittsburgh/read-365/Event?oid=1426430,,,,Volunteers,Program to read to children. Various venues and times. 412-365-2034
The Lost Artists of the 1893 Chicago Exhibition.,https://www.pghcitypaper.com/pittsburgh/the-lost-artists-of-the-1893-chicago-exhibition/Event?oid=1679375,Ongoing,Eclectic Art & Objects Gallery,"8275 Ohio River Blvd, Pittsburgh
Emsworth",Visual Art,Collectors Showcase. 412-734-2099
Sierra Club,https://www.pghcitypaper.com/pittsburgh/sierra-club/Event?oid=1426475,,,,Volunteers,To educate voters on environmental issues. 412-802-6161
,,,,,,
Pittsburgh AIDS Task Force,https://www.pghcitypaper.com/pittsburgh/pittsburgh-aids-task-force/Event?oid=1426421,,,,Volunteers,"For special events, mailings, community education, client services and more. East Liberty. 412-345-7456"
World Naked Bike Ride Philadelphia,https://www.pghcitypaper.com/pittsburgh/world-naked-bike-ride-philadelphia/Event?oid=23942862,"Mondays-Sundays, 3-11 p.m.",Philadelphia Street Playhouse,"725 Philadelphia St., Indiana
East Pittsburgh",Festivals,"Dear friends, We are so excited to announce the date for this years ride! Celebrating bicycle power and the beauty of people World Naked Bike Ride (WNBR) is an international clothing-optional people powered event that highlights the vulnerability of cyclists everywhere, decries society’s dependence on pollution-based transport and promotes positive body image. It’s also just a lot of fun! The event is bare-as-you-dare; anything from body paint to underwear to fanciful costumes are encouraged. Due to legal restrictions full frontal nudity full frontal nudity is at your own risk, but many do go all out. 847-901-3710"
Happy Hour,https://www.pghcitypaper.com/pittsburgh/happy-hour/Event?oid=13848013,"Mondays-Fridays, 4-6 p.m. and Saturdays, Sundays, 12-2 p.m.",Rick's Cabaret & Sports Bar,"135 9th St, Pittsburgh
Uptown",Food & Drink Event,Join us at Ricks for Discounted food and drinks. 412-281-7703
Weekly Chef Demonstrations and Live Music,https://www.pghcitypaper.com/pittsburgh/weekly-chef-demonstrations-and-live-music/Event?oid=6754248,"Tuesdays, 5:30-6:30 p.m.",Renaissance Pittsburgh Hotel,"107 Sixth Avenue, Pittsburgh
Downtown",Other Stuff,"The hotel is featuring a cooking demonstration series called “Discover Chef Saxon”. Chef Nick Saxon, executive chef of the Pittsburgh Renaissance Hotel and Braddock’s Pittsburgh Brasserie which is located inside the historic hotel, will prepare a meal and beverage each week. His weekly demonstrations will showcase a different item featured on the restaurant’s menu, as well as a cocktail that can be ordered at the hotel’s bar. Since the bar has one of the most extensive bourbon collections in Pittsburgh, guests can be sure that cocktails featuring a variety of bourbon will be part of the weekly lineup. 412.562.1200"
Acoustic Tuesdays,https://www.pghcitypaper.com/pittsburgh/acoustic-tuesdays/Event?oid=10340535,"Tuesdays, 6-9 p.m.",Bigham Tavern,"321 Bigham St., Pittsburgh
Mt. Washington",Acoustic,Join us Tuesdays for live acoustic music featuring local Pittsburgh musicians including Zig Daniels from The Delaneys and Bucky! Please call ahead for reservations and daily specials. #gobighamorgohome 412-431-9313
Printmaking Open Studio,https://www.pghcitypaper.com/pittsburgh/printmaking-open-studio/Event?oid=1898259,"Tuesdays, Thursdays, 6-10 p.m.",Artists Image Resource,"518 Foreland Street, Pittsburgh
North Side",Other Stuff,"Experienced screen printers can utilize studio equipment to make films, burn screens & complete a run of posters, t-shirts or prints. A volunteer-driven environment designed for short-run projects that can be completed in one evening for a small materials fee. 412-321-8664"
,,,,,,
Aspinwall Toastmasters,https://www.pghcitypaper.com/pittsburgh/aspinwall-toastmasters/Event?oid=1712319,"Tuesdays, 6:30-8 p.m.",UPMC Lighthouse Pointe,"500 Chapel Harbor Dr., Pittsburgh
Aspinwall",Literary,"Communication, leadership & public speaking. 412-760-0690"
Sallie Boggs Toastmasters Club,https://www.pghcitypaper.com/pittsburgh/sallie-boggs-toastmasters-club/Event?oid=1900922,"Tuesdays, 6:30-8 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood
Edgewood",Other Stuff,Helping people from all walks of life to improve their communication & leadership skills. For any questions email Sallieboggstm@gmail.com or call 412-365-5803. 412-731-0909
Edgewood Toastmasters,https://www.pghcitypaper.com/pittsburgh/edgewood-toastmasters/Event?oid=1432383,"Tuesdays, 6:30-8 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood
Edgewood",Literary,"Communication, leadership & public speaking. 412-512-9564"
Community Yoga,https://www.pghcitypaper.com/pittsburgh/community-yoga/Event?oid=16014761,"Tuesdays, Thursdays, 7-8 p.m.",Thrive on Health,"730 Brookline Boulevard, PIttsburgh
Brookline",Exercise,Join us for $5 community yoga classes every Tuesday and Thursday at 7PM in our lower level studio! 412-714-6620
Tuesday Night Bingo at St. Ursula Church,https://www.pghcitypaper.com/pittsburgh/tuesday-night-bingo-at-st-ursula-church/Event?oid=27548938,"Tuesdays, 7 p.m.",St. Ursula Church,"3945 Kirk Ave., Allison Park
Allison Park",Fundraisers,Weekly Tuesday night bingo in the social hall at St. Ursula Church. Admission is $20; many different side games also available. Weekly $500 jackpot. Refreshments available for purchase. (412) 417-0678
Geeks Who Drink Pub Quiz,https://www.pghcitypaper.com/pittsburgh/geeks-who-drink-pub-quiz/Event?oid=9581839,"Tuesdays, 7-9 p.m.",Alida's Woodfired Cucina,"3345 Penn Ave Suite 200, Pittsburgh
Lawrenceville",Other Stuff,"Not your father's Oldsmobile (or trivia). Think we're just trivia? Think again. Join us every Tuesday with your team (up to 6 people). Free to play, bar gift certificates and other prizes awarded. (412) 742-4495"
Sonny’s Stuff’d Mic,https://www.pghcitypaper.com/pittsburgh/sonnys-stuffd-mic/Event?oid=21763177,"Tuesdays, 7:30-9:30 p.m.",Sonny’s Tavern,"630 S. Millvale Ave., Pittsburgh
Bloomfield",Comedy,"This variety open mic is the spot to try out something new. It’s a small room where everyone is engaged & excited to see new material, with more time allotted than most open mics (8 min for comics/poets/misc. performers & 2 songs for musicians). Message Rachel Sohl or Liz Tripoli on FB for more info. HEADS UP! This is on old skool venue, so smoking is permitted & it’s cash only. Geeked to see you there… 4126835844"
Steamworks Sessions,https://www.pghcitypaper.com/pittsburgh/steamworks-sessions/Event?oid=9563516,"Tuesdays, 7:30-10 p.m.",STEAMWORKS CREATIVE,"4967 ROUTE 8 SUITE 6, GIBSONIA
Gibsonia",Open Stage,Steamworks Sessions Every Tuesday Night 7:30 pm – 10pm Hosted by Mary Lou Scherder Featured Artist & Open Stage. 4122133206
Confidential musical theatre project,https://www.pghcitypaper.com/pittsburgh/confidential-musical-theatre-project/Event?oid=1954023,"Ongoing, 7:30-10 p.m.",Neu Kirche Contemporary Art Center,"1000 Madison Avenue, at I-279 N, Pittsburgh
North Side",Theater,"Show is cast with best performers.Sent their scripts. Not to reveal the show or their role. With no rehearsals, the cast and crew meet for first time one hour before show. The challenge: create an ensemble on their feet in front of an audience. 412-322-2224"
Steel City Trivia Night,https://www.pghcitypaper.com/pittsburgh/steel-city-trivia-night/Event?oid=26181101,"Tuesdays, 8-10 p.m.",Good Time Bar & Grille,"1304 Walters Avenue, Pittsburgh
Millvale",Trivia,"Tacos & Trivia! $1 Taco night, and the finest in pub trivia brought to you by Steel City Trivia! Put together a team, come on out for some delicious tacos, and try to win a Good Time Bar & Grille gift card. (412) 408-3238"
A Night of Jazz,https://www.pghcitypaper.com/pittsburgh/a-night-of-jazz/Event?oid=15416566,"Tuesdays, 8-11 p.m.",Blend Bar with Davidoff Cigars,"436 Seventh Avenue, Pittsburgh
Downtown",Jazz,"Join us this and every Tuesday for live jazz, cigar giveaways and exclusive drinks. The Blend House Band will perform from 9-12 in our luxurious lounge. Jazz and cigars are the perfect combination, all we need now is you! 21+ and no cover 4129044764"
Hot Metal Blues,https://www.pghcitypaper.com/pittsburgh/hot-metal-blues/Event?oid=16537670,"Tuesdays, 8-11 p.m.",Lot 17,"4617 Liberty Avenue, Pittsburgh
Bloomfield",Dance,"Come on out to Lot 17 in Bloomfield on Tuesday nights to learn how to Blues dance! What is Blues dancing you ask? Dancing to Blues music is an informal, relaxed form of dance with no basic footwork focusing on the feeling and rhythms in the music. Schedule Lesson: 8-9 Social dancing: 9-11 412-687-8117"
Sonny’s Stuff’d Mic,https://www.pghcitypaper.com/pittsburgh/sonnys-stuffd-mic/Event?oid=21164120,"Tuesdays, 8 p.m.-1 a.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh
Bloomfield",Open Stage,"Sonny’s Stuff’d Mic Open Stage - Comedy, Music, Mixed Media, Art, Etc. - Sign Up at 7:30 - One Winner Each Week 412-683-5844"
Pete Butta,https://www.pghcitypaper.com/pittsburgh/pete-butta/Event?oid=1899691,"Tuesdays, 10 p.m.",The Goldmark,"4517 Butler St, Pittsburgh
Lawrenceville",DJs,Reggae & dancehall. 412-688-8820
Service Industry Tuesdays w/ DJ Red,https://www.pghcitypaper.com/pittsburgh/service-industry-tuesdays-w-dj-red/Event?oid=16729746,"Tuesdays, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh
Lawrenceville",DJs,Service Industry Brethren Unite! Every Tuesday Night is Pittsburgh's Best Service Industry Night @ The Goldmark in Lawrenceville w/ DJ Red and special guests. Doors at 8pm. DJ Red at 10pm. No Cover & Cheap Drinks. 412-688-8820
Ash Wednesday Open Sanctuary and Service,https://www.pghcitypaper.com/pittsburgh/ash-wednesday-open-sanctuary-and-service/Event?oid=27539393,"Wed., March 5, 10 a.m.-8 p.m.",Community House Presbyterian Church,"120 Parkhurst St, Pittsburgh
North Side",Special,Join us on Ash Wednesday from 10AM-5PM for centering prayer stations and labyrinth meditation followed by a Taizé Ash Wednesday service at 7PM. 412-321-3900
Cheers to 5 Years,https://www.pghcitypaper.com/pittsburgh/cheers-to-5-years/Event?oid=27456093,"Wed., March 5, 5:30-8 p.m.",Mike's Beer Bar,"110 Federal St., Pittsburgh
North Side",Fundraisers,"After launching YASU on March 1, 2020, surviving the pandemic, and since then becoming a nationally recognized organization for the young adult cancer population and their loved ones, it's time to celebrate our 5 year anniversary! Reception AT MIKE'S BEER BAR (5:30-6:30 PM) We're kicking off the night with a reception at Mike's Beer Bar: Hors d'oeuvres, live band, auction, cash bar, and a special ceremony to reflect on YASU's journey. DINNER AT NORTH SHORE TAVERN (7:00-8:00 PM) 724-719-2273"
International Women's Day Celebration Evening,https://www.pghcitypaper.com/pittsburgh/international-womens-day-celebration-evening/Event?oid=27325885,"Wed., March 5, 5:30-7 p.m.",Global Links,"700 Trumbull Dtive, Pittsburgh
Green Tree",Community,"Pittsburgh Professional Women Presents: 7th Annual International Women's Day Celebration Join us for an inspiring evening of empowerment and connection as we celebrate International Women's Day. The 2025 theme is ACCELERATE ACTION and emphasizes the urgency of addressing systemic barriers and biases that women face. We're honored to have Angela Garcia, Executive Director, of Global Links, as our distinguished guest and local vendors with international wares. 412-202-6983"
,,,,,,
International Women's Day Celebration Evening,https://www.pghcitypaper.com/pittsburgh/international-womens-day-celebration-evening/Event?oid=27340573,"Wed., March 5, 5:30-7 p.m.",Global Links,"700 Trumbull Dtive, Pittsburgh
Green Tree",Community,"Pittsburgh Professional Women Presents: 7th Annual International Women's Day Celebration Join us for an inspiring evening of empowerment and connection as we celebrate International Women's Day. We're honored to have Angela Garcia, Executive Director, of Global Links, as our distinguished guest. URL: LinkedIn: https://go.evvnt.com/2831497-2?pid=2020 412-202-6983"
March's Keg Tapping Celebration!,https://www.pghcitypaper.com/pittsburgh/marchs-keg-tapping-celebration/Event?oid=27527083,"Wed., March 5, 6-9 p.m.",Hofbrauhaus Pittsburgh Brewery & Restaurant,"2705 S. Water Street, Pittsburgh
South Side",Other Music,"A KEG TAPPING TO THAT'S ROLLING IN THE FLAVOR! “MÄRZEN” (Translation: March) 5.8% ABV | 22 IBU An amber-colored lager with a medium body and a smooth, malty character. There are characteristics of both biscuit and caramel as well. It has a delicate sweetness and a moderate hop finish. The result is one very balanced bier that everyone can enjoy. IT'S PAIRED WITH OUR HAUS-MADE CABBAGE ROLLS! Made right here in Our Haus! Old World-Style stuffed Cabbage Rolls in light Tomato Beef Broth and served with luscious mashed potatoes. 4122242328"
Alla Famiglia Italian Wine Dinner,https://www.pghcitypaper.com/pittsburgh/alla-famiglia-italian-wine-dinner/Event?oid=27502092,"Wed., March 5, 6:30-9 p.m.",Alla Famiglia,"804 E. Warrington Ave., Pittsburgh
Allentown",Food & Drink Event,"Join us for an exquisite culinary journey at the Alla Famiglia Italian Wine Dinner, an extraordinary evening designed for wine and food enthusiasts. This exclusive dining experience, set in collaboration with Medici Imports, will take place on Wednesday, March 5, 2025, at 6:30 PM. Guests will gather around communal tables, enhancing their enjoyment alongside friends and family. Under the culinary expertise of Chef Michelangelo Aliaga, you’ll savor a thoughtfully curated menu that showcases the rich and diverse flavors of Italy, with each course perfectly paired with selected Italian wines. Menu Highlights: Primero: Start your evening with Carpaccio di Manzo, featuring (412) 488-1440"
